epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0574,2.05742,3.65625,1.54085,0.05905,0.58333,0.09637,0.05361,1.66492,5.18328,1.39365,0.0991,0.0001,0.0001
2,64.6707,1.73883,2.42351,1.33358,0.23752,0.25,0.21509,0.11235,1.74043,12.9637,1.40561,0.097299,0.00029901,0.00029901
3,89.6908,1.66158,2.17806,1.28652,0.78084,0.22222,0.17142,0.0981,1.63217,6.68921,1.33786,0.0954967,0.0004967,0.0004967
4,115.184,1.55273,1.97849,1.27965,0.132,0.36111,0.17486,0.08515,1.73553,6.51616,1.30307,0.0936931,0.00069307,0.00069307
5,140.582,1.49915,1.72173,1.27541,0.36837,0.16667,0.05603,0.02728,1.84257,12.9159,1.38109,0.0918881,0.00088812,0.00088812
6,164.234,1.58308,1.64449,1.2488,0.0533,0.25,0.02851,0.01008,2.26216,52.7816,1.73819,0.0900819,0.00108185,0.00108185
7,187.995,1.54013,1.58221,1.23351,0.09031,0.33333,0.08338,0.04894,1.78557,161.701,1.5831,0.0882743,0.00127426,0.00127426
8,211.74,1.58752,1.59966,1.28444,0.1344,0.41667,0.18393,0.10213,1.96172,153.15,1.79613,0.0864654,0.00146535,0.00146535
9,235.317,1.64769,1.59755,1.38366,0.08442,0.22222,0.10075,0.06376,2.15972,212.528,2.74958,0.0846551,0.00165512,0.00165512
10,259.108,1.61589,1.52166,1.32425,0.02616,0.16667,0.05494,0.02104,2.355,228.275,3.57571,0.0828436,0.00184357,0.00184357
11,283.127,1.58158,1.59994,1.27447,0.46667,0.05556,0.07148,0.02683,2.20215,124.559,4.65116,0.0810307,0.0020307,0.0020307
12,307.815,1.61478,1.62844,1.33857,0.0107,0.33333,0.02152,0.01093,2.39627,82.0036,2.45308,0.0792165,0.00221651,0.00221651
13,333.105,1.58051,1.54142,1.28957,0.36036,0.08333,0.01277,0.0033,2.689,240.696,3.05403,0.077401,0.002401,0.002401
14,359.152,1.55669,1.385,1.26237,0.00699,0.08333,0.0059,0.00196,3.32461,696.569,3.9248,0.0755842,0.00258417,0.00258417
15,387.365,1.47516,1.38064,1.22658,0,0,0,0,4.53067,1745.32,10.4734,0.073766,0.00276602,0.00276602
16,415.354,1.51893,1.35365,1.22118,0,0,0,0,4.64124,6822.88,18.1392,0.0719465,0.00294655,0.00294655
17,443.069,1.50534,1.34067,1.24942,0,0,0,0,5.7716,11138.7,46.7054,0.0701258,0.00312576,0.00312576
18,470.628,1.57259,1.31604,1.2905,0,0,0,0,5.9765,23857.9,88.3031,0.0683036,0.00330365,0.00330365
19,496.579,1.56224,1.37324,1.29628,0,0,0,0,6.02559,36419.5,133.614,0.0664802,0.00348022,0.00348022
20,523.698,1.52139,1.35152,1.24687,0,0,0,0,4.71832,17881.6,86.9704,0.0646555,0.00365547,0.00365547
21,549.527,1.46553,1.31392,1.25801,0,0,0,0,5.37603,52879.8,74.1414,0.0628294,0.0038294,0.0038294
22,577.475,1.54351,1.29613,1.28575,0,0,0,0,5.42532,60005.3,94.1962,0.061002,0.00400201,0.00400201
23,606.129,1.4915,1.27609,1.28417,0,0,0,0,4.92151,54572.8,273.054,0.0591733,0.0041733,0.0041733
24,633.829,1.5698,1.27958,1.29908,0,0,0,0,4.85976,60073,284.783,0.0573433,0.00434327,0.00434327
