epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29203,2.02619,4.1492,1.39818,0,0,0,0,1.96305,4.06703,1.41007,0,0,0
2,4.43664,2.29502,4.18949,1.55933,0,0,0,0,1.96508,4.06786,1.41091,1.24587e-05,1.24587e-05,1.24587e-05
3,6.66924,2.48231,4.24552,1.61006,0,0,0,0,1.98047,4.0674,1.42939,2.4835e-05,2.4835e-05,2.4835e-05
4,8.75502,2.07927,4.24557,1.41039,0,0,0,0,1.93105,4.07524,1.42531,3.71287e-05,3.71287e-05,3.71287e-05
5,10.8183,2.20581,4.10264,1.59547,0,0,0,0,1.90601,4.07881,1.42293,4.934e-05,4.934e-05,4.934e-05
6,12.9589,2.12542,4.16751,1.41134,0,0,0,0,1.80036,4.08645,1.39113,6.14687e-05,6.14687e-05,6.14687e-05
7,14.9601,1.99285,3.89513,1.39042,0,0,0,0,1.7278,4.0873,1.37202,7.3515e-05,7.3515e-05,7.3515e-05
8,16.962,1.83254,4.03014,1.29438,0,0,0,0,1.68384,4.07537,1.37963,8.54787e-05,8.54787e-05,8.54787e-05
9,18.9454,1.63587,3.8437,1.24292,0,0,0,0,1.58942,4.06222,1.35575,9.736e-05,9.736e-05,9.736e-05
10,20.9582,1.70938,3.84085,1.29029,0,0,0,0,1.4954,4.03987,1.30549,0.000109159,0.000109159,0.000109159
11,22.9614,1.65076,3.78745,1.253,0.00544,0.05632,0.02056,0.00731,1.47213,3.99932,1.27835,0.000120875,0.000120875,0.000120875
12,24.9929,1.64475,3.6806,1.24401,0.00558,0.05632,0.03061,0.02148,1.42264,3.9656,1.23827,0.000132509,0.000132509,0.000132509
13,27.0505,1.58366,3.5124,1.1921,0.00942,0.09478,0.06928,0.04875,1.38343,3.93729,1.20631,0.00014406,0.00014406,0.00014406
14,29.2632,1.60485,3.40182,1.23516,0.01519,0.1511,0.11001,0.07631,1.37961,3.90674,1.19162,0.000155529,0.000155529,0.000155529
15,31.3119,1.49537,3.39332,1.18013,0.01842,0.18956,0.14035,0.08198,1.3901,3.8645,1.1769,0.000166915,0.000166915,0.000166915
16,33.3281,1.48227,3.23026,1.19315,0.01978,0.20742,0.15527,0.08855,1.41043,3.82659,1.17653,0.000178219,0.000178219,0.000178219
17,35.3993,1.49452,3.13298,1.1538,0.01997,0.20879,0.1553,0.08771,1.44822,3.7871,1.17829,0.00018944,0.00018944,0.00018944
18,37.629,1.64469,3.19312,1.13632,0.01997,0.20879,0.1553,0.08771,1.44822,3.7871,1.17829,0.000200579,0.000200579,0.000200579
19,39.7502,1.59122,3.01914,1.16198,0.96307,0.11538,0.16623,0.09846,1.42839,3.7379,1.14672,0.000211635,0.000211635,0.000211635
20,41.7771,1.5535,2.62785,1.09035,0.96307,0.11538,0.16623,0.09846,1.42839,3.7379,1.14672,0.000222609,0.000222609,0.000222609
21,44.149,1.51669,2.91505,1.1523,0.99638,0.13462,0.18891,0.12513,1.45952,3.6843,1.157,0.0002335,0.0002335,0.0002335
