epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6234,1.9366,3.93223,1.41436,0.00175,0.02778,0.00788,0.00315,1.44806,3.85146,1.24694,1.429e-05,1.429e-05,1.429e-05
2,26.4895,1.98712,3.98041,1.424,0.00181,0.02778,0.01499,0.006,1.38292,3.84571,1.20843,4.27851e-05,4.27851e-05,4.27851e-05
3,39.3455,1.95658,3.82058,1.45613,0.0019,0.02778,0.00795,0.00318,1.30665,3.81913,1.16607,7.11671e-05,7.11671e-05,7.11671e-05
4,52.1475,1.81413,3.72661,1.35079,0.00198,0.02778,0.00495,0.00198,1.18299,3.79063,1.10043,9.94358e-05,9.94358e-05,9.94358e-05
5,65.1466,1.75491,3.59364,1.30268,0.00706,0.11111,0.07962,0.02414,1.15431,3.74444,1.06102,0.000127591,0.000127591,0.000127591
6,78.4783,1.66192,3.3482,1.23647,0.01596,0.22222,0.13008,0.07056,1.1693,3.68604,1.01507,0.000155634,0.000155634,0.000155634
7,89.2727,1.62582,3.01925,1.22979,0.01789,0.25,0.18473,0.09628,1.21239,3.618,1.03139,0.000183563,0.000183563,0.000183563
8,100.364,1.74322,2.86494,1.25561,0.01978,0.27778,0.22157,0.11923,1.30987,3.54862,1.06903,0.000211379,0.000211379,0.000211379
9,110.971,1.64629,2.67712,1.20486,0.01969,0.27778,0.22137,0.12928,1.33223,3.51453,1.07326,0.000239082,0.000239082,0.000239082
10,121.63,1.60539,2.54829,1.18688,0.02141,0.30556,0.22596,0.1259,1.25514,3.50203,1.02844,0.000266672,0.000266672,0.000266672
11,132.372,1.53177,2.34002,1.16569,0.02616,0.38889,0.24059,0.11865,1.22225,3.46525,1.01771,0.000294148,0.000294148,0.000294148
12,143.369,1.50947,2.32675,1.17182,0.02539,0.38889,0.22101,0.13653,1.10148,3.37869,0.99247,0.000321512,0.000321512,0.000321512
13,154.697,1.48754,2.21879,1.13148,0.03167,0.47222,0.22495,0.1485,1.12139,3.31972,1.01687,0.000348762,0.000348762,0.000348762
14,165.741,1.51009,2.14359,1.15244,0.03167,0.47222,0.22096,0.14732,1.18197,3.29091,1.03723,0.000375899,0.000375899,0.000375899
15,176.348,1.45602,1.98819,1.14009,0.03012,0.44444,0.20994,0.1429,1.19618,3.2681,1.03839,0.000402923,0.000402923,0.000402923
16,187.324,1.46598,1.83985,1.1251,0.03341,0.5,0.20663,0.14618,1.14173,3.22747,1.00975,0.000429833,0.000429833,0.000429833
17,198.073,1.5127,1.79678,1.141,0.0318,0.5,0.20375,0.15081,1.16956,3.20391,1.00957,0.000456631,0.000456631,0.000456631
18,208.852,1.42796,1.7477,1.11332,0.03246,0.52778,0.20104,0.133,1.21953,3.23838,1.03561,0.000483315,0.000483315,0.000483315
19,219.493,1.36864,1.57247,1.06288,0.0321,0.52778,0.22541,0.1514,1.19842,3.24109,1.03197,0.000509886,0.000509886,0.000509886
20,230.178,1.3892,1.52537,1.09146,0.03158,0.52778,0.29408,0.20167,1.16081,3.20003,1.02873,0.000536344,0.000536344,0.000536344
21,240.718,1.37723,1.54731,1.12804,0.03303,0.55556,0.34978,0.27185,1.13015,3.15074,1.0321,0.000562689,0.000562689,0.000562689
22,251.488,1.39382,1.46837,1.07295,0.03598,0.61111,0.38554,0.29932,1.14519,3.10922,1.03774,0.00058892,0.00058892,0.00058892
23,262.335,1.3537,1.45642,1.06352,0.03745,0.63889,0.41583,0.29875,1.21546,3.02653,1.0539,0.000615039,0.000615039,0.000615039
24,272.988,1.34489,1.46788,1.06626,0.72564,0.16253,0.46156,0.30705,1.25596,2.96636,1.07635,0.000641044,0.000641044,0.000641044
25,283.817,1.27067,1.38687,1.04747,0.03795,0.63889,0.46404,0.30852,1.23959,2.93315,1.07257,0.000666936,0.000666936,0.000666936
26,294.612,1.32178,1.36469,1.07203,0.04969,0.80556,0.52321,0.34318,1.22412,2.84636,1.06587,0.000692715,0.000692715,0.000692715
27,305.648,1.34687,1.42533,1.0743,0.05182,0.80556,0.48454,0.31829,1.1763,2.81851,1.02685,0.000718381,0.000718381,0.000718381
28,316.35,1.29071,1.38166,1.06338,0.05182,0.80556,0.48454,0.31829,1.1763,2.81851,1.02685,0.000743933,0.000743933,0.000743933
29,327.253,1.25196,1.30149,1.05082,0.05494,0.80556,0.51129,0.33509,1.21201,2.82989,1.04549,0.000769372,0.000769372,0.000769372
30,338.122,1.28953,1.32552,1.07233,0.43352,0.62446,0.53406,0.36838,1.17612,2.8533,1.03944,0.000794699,0.000794699,0.000794699
31,348.995,1.34479,1.28591,1.08144,0.43352,0.62446,0.53406,0.36838,1.17612,2.8533,1.03944,0.000819912,0.000819912,0.000819912
32,359.623,1.26211,1.23956,1.04095,0.94497,0.10898,0.4646,0.32602,1.12976,2.9732,1.04309,0.000845011,0.000845011,0.000845011
33,370.305,1.21738,1.29494,1.05091,0.68584,0.08333,0.42092,0.31825,1.09489,2.92679,1.03715,0.000869998,0.000869998,0.000869998
34,380.975,1.22995,1.19349,1.04618,0.68584,0.08333,0.42092,0.31825,1.09489,2.92679,1.03715,0.000894872,0.000894872,0.000894872
35,391.675,1.28962,1.22734,1.04732,0.8202,0.11101,0.49337,0.36769,1.12819,2.7757,1.04073,0.000919632,0.000919632,0.000919632
36,402.336,1.26412,1.28753,1.0412,0.88447,0.14152,0.52039,0.34419,1.24742,2.66155,1.05006,0.000944279,0.000944279,0.000944279
37,413.052,1.28608,1.36704,1.0579,0.88447,0.14152,0.52039,0.34419,1.24742,2.66155,1.05006,0.000968813,0.000968813,0.000968813
38,423.616,1.2894,1.22775,1.04377,0.87402,0.13858,0.44301,0.30115,1.23864,2.78432,1.0689,0.000993234,0.000993234,0.000993234
39,434.516,1.23597,1.3107,1.05247,0.81633,0.11151,0.4641,0.30031,1.19056,2.76072,1.07357,0.00101754,0.00101754,0.00101754
40,445.326,1.31741,1.23038,1.05928,0.81633,0.11151,0.4641,0.30031,1.19056,2.76072,1.07357,0.00104174,0.00104174,0.00104174
41,455.933,1.19573,1.2136,1.0131,0.76751,0.20118,0.53468,0.37222,1.15152,2.49498,1.05481,0.00106582,0.00106582,0.00106582
42,466.505,1.19389,1.19902,1.04926,0.68555,0.33702,0.66371,0.44848,1.20567,2.22868,1.04262,0.00108978,0.00108978,0.00108978
43,476.987,1.18544,1.09745,1.0168,0.68555,0.33702,0.66371,0.44848,1.20567,2.22868,1.04262,0.00111364,0.00111364,0.00111364
44,487.927,1.21808,1.17849,1.02175,0.74448,0.38309,0.67728,0.45002,1.19011,2.16146,1.0395,0.00113738,0.00113738,0.00113738
45,498.968,1.19701,1.1653,1.01423,0.74448,0.38309,0.67728,0.45002,1.19011,2.16146,1.0395,0.00116101,0.00116101,0.00116101
46,509.528,1.16731,1.12343,0.98543,0.78247,0.35363,0.55921,0.41097,1.17699,2.36526,1.04548,0.00118453,0.00118453,0.00118453
47,519.964,1.1857,1.09396,1.05378,0.78247,0.35363,0.55921,0.41097,1.17699,2.36526,1.04548,0.00120793,0.00120793,0.00120793
48,530.889,1.16855,1.07275,1.00948,0.83603,0.19445,0.40566,0.28687,1.40972,2.89244,1.20415,0.00123122,0.00123122,0.00123122
